0;13;2;0;0;2;8;25;0;0;0;0;1;0;2;12;1;3;2;8;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;7;4;5;0;0;0;12;2;4;0;2;0;12;0;0
13;0;15;28;25;82;129;224;1;69;10;1;24;1;19;89;22;11;48;45;1;7;0;0;4;3;2;1;2;3;7;2;3;4;0;27;0;27;38;7;2;0;0;7;4;2;0;53;1;36;1;3
2;15;0;2;3;12;13;21;0;5;0;0;0;0;1;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;5;0;0;0;0;0;0;0;0;3;0;6;0;0
0;28;2;0;27;29;29;35;0;3;1;0;0;0;3;9;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;2;16;0;0;0;0;1;1;0;0;7;1;0;2;0
0;25;3;27;0;41;30;37;0;5;0;0;0;0;2;10;2;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;14;0;0;0;0;1;1;0;0;3;0;1;1;1
2;82;12;29;41;0;73;180;0;38;1;0;21;0;3;42;4;6;19;16;1;4;0;0;2;0;0;0;0;0;2;0;0;1;0;26;0;12;43;0;0;0;0;2;2;1;0;9;0;6;0;1
8;129;13;29;30;73;0;125;1;13;0;0;6;0;5;23;4;7;26;28;0;6;0;0;4;0;0;0;0;0;0;0;1;0;0;30;0;21;38;2;0;1;1;6;5;2;0;14;1;9;1;2
25;224;21;35;37;180;125;0;1;134;9;1;159;1;28;164;24;21;89;145;3;27;2;1;10;3;3;1;0;5;14;3;6;5;1;32;1;73;85;34;5;0;0;31;8;3;0;51;1;57;2;4
0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;69;5;3;5;38;13;134;0;0;17;1;74;1;10;84;18;7;16;23;0;3;0;0;0;1;1;1;0;2;10;5;3;0;1;6;0;9;14;7;5;0;0;3;0;0;0;30;0;24;0;0
0;10;0;1;0;1;0;9;0;17;0;1;7;1;0;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;3;0;0
0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;24;0;0;0;21;6;159;1;74;7;1;0;1;3;32;4;4;11;38;0;7;0;0;2;0;0;0;0;0;6;4;2;1;0;3;1;18;11;7;6;0;0;2;1;0;1;11;0;18;0;1
0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2;19;1;3;2;3;5;28;0;10;0;0;3;0;0;35;8;2;17;15;0;3;1;0;1;2;2;0;0;4;0;0;0;0;0;1;0;5;5;4;0;0;0;5;0;0;0;7;0;9;1;0
12;89;4;9;10;42;23;164;0;84;8;0;32;0;35;0;31;21;49;40;0;5;1;0;5;3;3;1;2;3;6;3;0;0;0;4;0;37;16;9;0;0;0;19;1;5;1;35;0;56;1;1
1;22;3;1;2;4;4;24;0;18;0;0;4;0;8;31;0;5;17;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;2;0;0;0;6;0;14;0;2
3;11;0;0;0;6;7;21;0;7;0;0;4;0;2;21;5;0;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;0;0;4;0;11;0;0
2;48;2;2;8;19;26;89;0;16;0;0;11;0;17;49;17;5;0;41;3;9;1;0;1;1;2;1;2;3;1;0;0;3;0;9;1;29;20;10;0;0;0;11;2;1;1;11;0;22;0;4
8;45;0;2;2;16;28;145;0;23;3;1;38;1;15;40;8;4;41;0;3;30;2;1;14;0;0;0;0;0;6;3;2;5;0;5;1;34;24;25;6;1;2;24;6;2;1;15;0;22;0;3
0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;2;0;0;0;1;0;0;0;0
1;7;0;0;0;4;6;27;0;3;0;0;7;0;3;5;0;1;9;30;2;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;8;5;4;0;0;0;3;0;0;0;2;0;3;0;0
